sample_id,source_company,source_platform,posting_id,title,raw_location,source_url,human_function,human_seniority,human_normalized_location,human_duplicate_or_repost,human_lifecycle_status,reviewer_id,annotation_timestamp,ambiguity_flag,notes
job-v03-068,Cloudflare,,,"Named Account Executive, FSI (Hong Kong)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7868936?gh_jid=7868936,,,,,,,,,
job-v03-069,Cloudflare,,,"Named Account Executive, Thailand",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7783835?gh_jid=7783835,,,,,,,,,
job-v03-070,Cloudflare,,,"Network Acquisition Manager, APAC",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8052843?gh_jid=8052843,,,,,,,,,
job-v03-071,Cloudflare,,,Network Deployment Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8099671?gh_jid=8099671,,,,,,,,,
job-v03-072,Cloudflare,,,Network Deployment Engineer - APJC,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8088046?gh_jid=8088046,,,,,,,,,
job-v03-073,Cloudflare,,,Network Reliability Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7649981?gh_jid=7649981,,,,,,,,,
job-v03-074,Cloudflare,,,Network Security Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8081027?gh_jid=8081027,,,,,,,,,
job-v03-075,Cloudflare,,,Network Strategy Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8013562?gh_jid=8013562,,,,,,,,,
job-v03-076,Cloudflare,,,Network Strategy Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8031027?gh_jid=8031027,,,,,,,,,
job-v03-077,Cloudflare,,,Oracle ALM Finance Lead,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8103793?gh_jid=8103793,,,,,,,,,
job-v03-078,Cloudflare,,,"Partner Solutions Architect- Service Providers  Location New York, Atlanta, Charlotte, New Jersey and FL",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8049820?gh_jid=8049820,,,,,,,,,
job-v03-079,Cloudflare,,,Post-Award Governance Specialist,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8112140?gh_jid=8112140,,,,,,,,,
job-v03-080,Cloudflare,,,"Pre-Sales Customer Engineer, Digital Native",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7956851?gh_jid=7956851,,,,,,,,,
job-v03-081,Cloudflare,,,"Presales Customer Engineer, Enterprise (based in Melbourne)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8076565?gh_jid=8076565,,,,,,,,,
job-v03-082,Cloudflare,,,"Presales Customer Engineer, Enterprise (Sydney)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8076538?gh_jid=8076538,,,,,,,,,
job-v03-083,Cloudflare,,,"Pre-Sales Customer Engineer, Indonesia",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8052856?gh_jid=8052856,,,,,,,,,
job-v03-084,Cloudflare,,,Presales Customer Engineer (Sydney),Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8087911?gh_jid=8087911,,,,,,,,,
job-v03-085,Cloudflare,,,"Principal Account Executive, SLED West (R1 Institutions and Higher Ed) ",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7958083?gh_jid=7958083,,,,,,,,,
job-v03-086,Cloudflare,,,Principal Content Engineer,Hybrid; In-Office,https://boards.greenhouse.io/cloudflare/jobs/8109939?gh_jid=8109939,,,,,,,,,
job-v03-087,Cloudflare,,,Principal Engineer - Cloudforce One,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8023395?gh_jid=8023395,,,,,,,,,
job-v03-088,Cloudflare,,,Principal Engineer - GTM Data Platform,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8054669?gh_jid=8054669,,,,,,,,,
job-v03-089,Cloudflare,,,"Principal Finance Partner, Revenue & Strategic Modeling",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8003273?gh_jid=8003273,,,,,,,,,
job-v03-090,Cloudflare,,,"Principal, GTM Strategic Initiatives Program Manager ",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8106415?gh_jid=8106415,,,,,,,,,
job-v03-091,Cloudflare,,,"Principal Partner Account Manager - Service Provider, APAC (Based in Singapore)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7573757?gh_jid=7573757,,,,,,,,,
job-v03-092,Cloudflare,,,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)",Hybrid or Remote,https://boards.greenhouse.io/cloudflare/jobs/8024889?gh_jid=8024889,,,,,,,,,
job-v03-093,Cloudflare,,,Principal People Team Business Partner - M&A / Strategy,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8000779?gh_jid=8000779,,,,,,,,,
job-v03-094,Cloudflare,,,Principal People Team Business Partner - R&D,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7567848?gh_jid=7567848,,,,,,,,,
job-v03-095,Cloudflare,,,Principal Professional Services Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8050386?gh_jid=8050386,,,,,,,,,
job-v03-096,Cloudflare,,,"Principal Software Engineer, Data","Austin, TX, United States",https://boards.greenhouse.io/cloudflare/jobs/8102350?gh_jid=8102350,,,,,,,,,
job-v03-097,Cloudflare,,,"Principal Software Engineer: Distributed Systems (Config, Test, & Deployment)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8038898?gh_jid=8038898,,,,,,,,,
job-v03-098,Cloudflare,,,"Principal Software Engineer, Workers Deploy & Config",In-Office,https://boards.greenhouse.io/cloudflare/jobs/8055320?gh_jid=8055320,,,,,,,,,
job-v03-099,Cloudflare,,,Principal Solutions Architect - APAC,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8040851?gh_jid=8040851,,,,,,,,,
job-v03-100,Cloudflare,,,"Principal Strategy Manager, Developer Acquisitions",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8022491?gh_jid=8022491,,,,,,,,,
job-v03-101,Cloudflare,,,"Principal Systems Engineer, DevTools",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8116208?gh_jid=8116208,,,,,,,,,
job-v03-102,Cloudflare,,,Procurement Systems Developer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8128762?gh_jid=8128762,,,,,,,,,
job-v03-103,Cloudflare,,,Product Counsel,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8028310?gh_jid=8028310,,,,,,,,,
job-v03-104,Cloudflare,,,"Product Manager, AI Access",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7904142?gh_jid=7904142,,,,,,,,,
job-v03-105,Cloudflare,,,Product Security Engineer,In-Office,https://boards.greenhouse.io/cloudflare/jobs/8053116?gh_jid=8053116,,,,,,,,,
job-v03-106,Cloudflare,,,Product Security Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8102768?gh_jid=8102768,,,,,,,,,
job-v03-107,Cloudflare,,,Professional Services Consultant,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8079544?gh_jid=8079544,,,,,,,,,
job-v03-108,Cloudflare,,,Professional Services Intern – Global Customer Services (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/7796077?gh_jid=7796077,,,,,,,,,
job-v03-109,Cloudflare,,,Professional Services Project Manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8050384?gh_jid=8050384,,,,,,,,,
job-v03-110,Cloudflare,,,Public Relations Associate,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8092138?gh_jid=8092138,,,,,,,,,
job-v03-111,Cloudflare,,,Recruiting Coordinator (12-month Contract),Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8099018?gh_jid=8099018,,,,,,,,,
job-v03-112,Cloudflare,,,Research Engineer Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8089379?gh_jid=8089379,,,,,,,,,
job-v03-113,Cloudflare,,,Research Engineer Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8089407?gh_jid=8089407,,,,,,,,,
job-v03-114,Cloudflare,,,Research Engineer Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8089400?gh_jid=8089400,,,,,,,,,
job-v03-115,Cloudflare,,,"Sales Director, Majors (TOLA)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7983529?gh_jid=7983529,,,,,,,,,
job-v03-116,Cloudflare,,,Security Engineer (IAM),In-Office,https://boards.greenhouse.io/cloudflare/jobs/8124227?gh_jid=8124227,,,,,,,,,
job-v03-117,Cloudflare,,,Security Third Party Risk Management Lead,"Austin, TX",https://boards.greenhouse.io/cloudflare/jobs/8099937?gh_jid=8099937,,,,,,,,,
job-v03-118,Cloudflare,,,"Senior Account Executive, Chile",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8097869?gh_jid=8097869,,,,,,,,,
job-v03-119,Cloudflare,,,"Senior Account Executive, Colombia",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8097852?gh_jid=8097852,,,,,,,,,
job-v03-120,Cloudflare,,,"Senior Account Executive, Startups (Bay Area)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7867139?gh_jid=7867139,,,,,,,,,
job-v03-121,Cloudflare,,,"Senior Account Executive, Startups (NYC OR Boston)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7681220?gh_jid=7681220,,,,,,,,,
job-v03-122,Cloudflare,,,"Senior Account Executive, Startups (San Francisco)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8015719?gh_jid=8015719,,,,,,,,,
job-v03-123,Cloudflare,,,Senior Administrative Assistant - Floater,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7635977?gh_jid=7635977,,,,,,,,,
job-v03-124,Cloudflare,,,Senior Atlassian System Admin,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7641930?gh_jid=7641930,,,,,,,,,
job-v03-125,Cloudflare,,,Senior Cloudflare One GTM Specialist,Distributed,https://boards.greenhouse.io/cloudflare/jobs/7534033?gh_jid=7534033,,,,,,,,,
job-v03-126,Cloudflare,,,Senior Commercial Account Executive,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8089418?gh_jid=8089418,,,,,,,,,
job-v03-127,Cloudflare,,,Senior Customer Engagement Strategy Manager    ,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8059775?gh_jid=8059775,,,,,,,,,
job-v03-128,Cloudflare,,,Senior Customer Engineer ,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8018980?gh_jid=8018980,,,,,,,,,
job-v03-129,Cloudflare,,,Senior Customer Engineer-  (AI & Start-Ups). Los Angeles ,Distributed,https://boards.greenhouse.io/cloudflare/jobs/8075795?gh_jid=8075795,,,,,,,,,
job-v03-130,Cloudflare,,,Senior Customer Engineer-  (AI & Start-Ups). San Francisco only.,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7521551?gh_jid=7521551,,,,,,,,,
job-v03-131,Cloudflare,,,Senior Customer Engineer Brazil (US based),Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7975427?gh_jid=7975427,,,,,,,,,
job-v03-132,Cloudflare,,,Senior Customer Engineer - Calgary,Distributed,https://boards.greenhouse.io/cloudflare/jobs/7778747?gh_jid=7778747,,,,,,,,,
job-v03-133,Cloudflare,,,Senior Customer Engineer- Cloudflare Developer Platform (Start-Ups) Miami,Distributed,https://boards.greenhouse.io/cloudflare/jobs/8054072?gh_jid=8054072,,,,,,,,,
job-v03-134,Cloudflare,,,"Senior Customer Engineer, Commercial ",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8126829?gh_jid=8126829,,,,,,,,,
job-v03-135,Cloudflare,,,"Senior Customer Engineer, Digital Native Enterprise - Bay Area",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8077614?gh_jid=8077614,,,,,,,,,
job-v03-136,Cloudflare,,,"Senior Customer Engineer, Digital Native Enterprise - Los Angeles",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8078129?gh_jid=8078129,,,,,,,,,
job-v03-137,Cloudflare,,,"Senior Customer Engineer, Digital Native Enterprise - New York",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8080187?gh_jid=8080187,,,,,,,,,
job-v03-138,Cloudflare,,,"Senior Customer Engineer, Fed - Toronto, CA",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8122071?gh_jid=8122071,,,,,,,,,
job-v03-139,Cloudflare,,,"Senior Customer Engineer, Hong Kong (Pre-sales)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8097947?gh_jid=8097947,,,,,,,,,
job-v03-140,Cloudflare,,,"Senior Customer Engineering Manager, Majors - Texas",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8070722?gh_jid=8070722,,,,,,,,,
job-v03-141,Cloudflare,,,"Senior Customer Engineer, Majors",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7374554?gh_jid=7374554,,,,,,,,,
job-v03-142,Cloudflare,,,"Senior Customer Engineer, Majors - Detroit, MI",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8078323?gh_jid=8078323,,,,,,,,,
job-v03-143,Cloudflare,,,"Senior Customer Engineer, Majors - NYC",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7980647?gh_jid=7980647,,,,,,,,,
job-v03-144,Cloudflare,,,"Senior Customer Engineer, Majors, Philadelphia or Pittsburgh ",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7520051?gh_jid=7520051,,,,,,,,,
job-v03-145,Cloudflare,,,"Senior Customer Engineer, Majors, Raleigh, NC",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7864156?gh_jid=7864156,,,,,,,,,
job-v03-146,Cloudflare,,,"Senior Customer Engineer, Majors, San Francisco",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7551589?gh_jid=7551589,,,,,,,,,
job-v03-147,Cloudflare,,,"Senior Customer Engineer, Majors - Toronto, CA",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8121983?gh_jid=8121983,,,,,,,,,
job-v03-148,Cloudflare,,,"Senior Customer Engineer, Named - Charlotte, NC",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8082834?gh_jid=8082834,,,,,,,,,
job-v03-149,Cloudflare,,,"Senior Customer Engineer, Named - Cincinnati, OH",Distributed,https://boards.greenhouse.io/cloudflare/jobs/7954702?gh_jid=7954702,,,,,,,,,
job-v03-150,Cloudflare,,,"Senior Customer Engineer, Named - Minnesota",Distributed,https://boards.greenhouse.io/cloudflare/jobs/8121827?gh_jid=8121827,,,,,,,,,
