dataset,prediction_id,company,ticker,cutoff,outcome,outcome_date,probability,feature_name,feature_value,contribution,direction,evidence_ids,evidence_observation,already_announced_exclusion,diagnostic_only
v1_development,rv-MRO-2022-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2022-12-31,0,,0.270432,margin_pressure,0.40,0.36000000000000004,support,rv-MRO-2022,Aerospace and automotive operations faced inflation and supply constraints while restructuring expenditure continued; trading and cash generation provided material contrary evidence. Existing programmes are excluded.,continuing GKN restructuring already disclosed,true
v1_development,rv-MRO-2022-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2022-12-31,0,,0.270432,cash_pressure,0.40,0.27999999999999997,support,rv-MRO-2022,Aerospace and automotive operations faced inflation and supply constraints while restructuring expenditure continued; trading and cash generation provided material contrary evidence. Existing programmes are excluded.,continuing GKN restructuring already disclosed,true
v1_development,rv-MRO-2022-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2022-12-31,0,,0.270432,contrary_strength,0.60,-0.48,contradict,rv-MRO-2022,Aerospace and automotive operations faced inflation and supply constraints while restructuring expenditure continued; trading and cash generation provided material contrary evidence. Existing programmes are excluded.,continuing GKN restructuring already disclosed,true
v1_development,rv-ELM-2021-12-31-restructuring-rules-1.0.0,Elementis,ELM,2021-12-31,0,,0.170452,pressure_language,0.40,0.5599999999999999,support,rv-ELM-2021,"Elementis was pursuing $10m of underlying savings and warned of inflation and supply-chain margin headwinds, but revenue, operating profit, margin and leverage were improving.",2021 efficiency savings already disclosed,true
v1_development,rv-ELM-2021-12-31-restructuring-rules-1.0.0,Elementis,ELM,2021-12-31,0,,0.170452,margin_pressure,0.35,0.315,support,rv-ELM-2021,"Elementis was pursuing $10m of underlying savings and warned of inflation and supply-chain margin headwinds, but revenue, operating profit, margin and leverage were improving.",2021 efficiency savings already disclosed,true
v1_development,rv-ELM-2021-12-31-restructuring-rules-1.0.0,Elementis,ELM,2021-12-31,0,,0.170452,cash_pressure,0.25,0.175,support,rv-ELM-2021,"Elementis was pursuing $10m of underlying savings and warned of inflation and supply-chain margin headwinds, but revenue, operating profit, margin and leverage were improving.",2021 efficiency savings already disclosed,true
v1_development,rv-ELM-2021-12-31-restructuring-rules-1.0.0,Elementis,ELM,2021-12-31,0,,0.170452,contrary_strength,0.80,-0.6400000000000001,contradict,rv-ELM-2021,"Elementis was pursuing $10m of underlying savings and warned of inflation and supply-chain margin headwinds, but revenue, operating profit, margin and leverage were improving.",2021 efficiency savings already disclosed,true
v1_development,rv-ELM-2022-12-31-restructuring-rules-1.0.0,Elementis,ELM,2022-12-31,1,2023-09-30,0.201422,pressure_language,0.35,0.48999999999999994,support,rv-ELM-2022,"Pricing and self-help supported performance against inflation, while leverage and portfolio actions remained important; the disclosed chromium disposal is ordinary portfolio evidence, not a restructuring outcome.",Chromium sale disclosed before cutoff,true
v1_development,rv-ELM-2022-12-31-restructuring-rules-1.0.0,Elementis,ELM,2022-12-31,1,2023-09-30,0.201422,margin_pressure,0.40,0.36000000000000004,support,rv-ELM-2022,"Pricing and self-help supported performance against inflation, while leverage and portfolio actions remained important; the disclosed chromium disposal is ordinary portfolio evidence, not a restructuring outcome.",Chromium sale disclosed before cutoff,true
v1_development,rv-ELM-2022-12-31-restructuring-rules-1.0.0,Elementis,ELM,2022-12-31,1,2023-09-30,0.201422,cash_pressure,0.35,0.24499999999999997,support,rv-ELM-2022,"Pricing and self-help supported performance against inflation, while leverage and portfolio actions remained important; the disclosed chromium disposal is ordinary portfolio evidence, not a restructuring outcome.",Chromium sale disclosed before cutoff,true
v1_development,rv-ELM-2022-12-31-restructuring-rules-1.0.0,Elementis,ELM,2022-12-31,1,2023-09-30,0.201422,contrary_strength,0.60,-0.48,contradict,rv-ELM-2022,"Pricing and self-help supported performance against inflation, while leverage and portfolio actions remained important; the disclosed chromium disposal is ordinary portfolio evidence, not a restructuring outcome.",Chromium sale disclosed before cutoff,true
v1_development,rv-CRPR-2021-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2021-12-31,0,,0.071264,pressure_language,0.05,0.06999999999999999,support,rv-CRPR-2021,"Revenue and adjusted profit rebounded strongly, liquidity exceeded £15m and capacity investment restarted; no material pressure programme was described.",,true
v1_development,rv-CRPR-2021-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2021-12-31,0,,0.071264,margin_pressure,0.05,0.045000000000000005,support,rv-CRPR-2021,"Revenue and adjusted profit rebounded strongly, liquidity exceeded £15m and capacity investment restarted; no material pressure programme was described.",,true
v1_development,rv-CRPR-2021-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2021-12-31,0,,0.071264,cash_pressure,0.10,0.06999999999999999,support,rv-CRPR-2021,"Revenue and adjusted profit rebounded strongly, liquidity exceeded £15m and capacity investment restarted; no material pressure programme was described.",,true
v1_development,rv-CRPR-2021-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2021-12-31,0,,0.071264,contrary_strength,0.95,-0.76,contradict,rv-CRPR-2021,"Revenue and adjusted profit rebounded strongly, liquidity exceeded £15m and capacity investment restarted; no material pressure programme was described.",,true
v1_development,rv-CRPR-2022-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2022-12-31,1,2023-04-19,0.380499,pressure_language,0.45,0.63,support,rv-CRPR-2022,"Adjusted profit fell to nil as energy and raw-material inflation rose, expectations were cut materially and gearing increased, despite revenue growth and investment prospects.",,true
v1_development,rv-CRPR-2022-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2022-12-31,1,2023-04-19,0.380499,margin_pressure,0.90,0.81,support,rv-CRPR-2022,"Adjusted profit fell to nil as energy and raw-material inflation rose, expectations were cut materially and gearing increased, despite revenue growth and investment prospects.",,true
v1_development,rv-CRPR-2022-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2022-12-31,1,2023-04-19,0.380499,cash_pressure,0.55,0.385,support,rv-CRPR-2022,"Adjusted profit fell to nil as energy and raw-material inflation rose, expectations were cut materially and gearing increased, despite revenue growth and investment prospects.",,true
v1_development,rv-CRPR-2022-12-31-restructuring-rules-1.0.0,James Cropper,CRPR,2022-12-31,1,2023-04-19,0.380499,contrary_strength,0.40,-0.32000000000000006,contradict,rv-CRPR-2022,"Adjusted profit fell to nil as energy and raw-material inflation rose, expectations were cut materially and gearing increased, despite revenue growth and investment prospects.",,true
v1_development,rv-VCT-2021-12-31-restructuring-rules-1.0.0,Victrex,VCT,2021-12-31,0,,0.074645,pressure_language,0.05,0.06999999999999999,support,rv-VCT-2021,Victrex reported recovery in volumes and profitability with substantial available cash and continuing growth investment; operational disruption was limited.,2020 consultation/restructuring already disclosed,true
v1_development,rv-VCT-2021-12-31-restructuring-rules-1.0.0,Victrex,VCT,2021-12-31,0,,0.074645,margin_pressure,0.10,0.09000000000000001,support,rv-VCT-2021,Victrex reported recovery in volumes and profitability with substantial available cash and continuing growth investment; operational disruption was limited.,2020 consultation/restructuring already disclosed,true
v1_development,rv-VCT-2021-12-31-restructuring-rules-1.0.0,Victrex,VCT,2021-12-31,0,,0.074645,cash_pressure,0.05,0.034999999999999996,support,rv-VCT-2021,Victrex reported recovery in volumes and profitability with substantial available cash and continuing growth investment; operational disruption was limited.,2020 consultation/restructuring already disclosed,true
v1_development,rv-VCT-2021-12-31-restructuring-rules-1.0.0,Victrex,VCT,2021-12-31,0,,0.074645,contrary_strength,0.90,-0.7200000000000001,contradict,rv-VCT-2021,Victrex reported recovery in volumes and profitability with substantial available cash and continuing growth investment; operational disruption was limited.,2020 consultation/restructuring already disclosed,true
v1_development,rv-VCT-2022-12-31-restructuring-rules-1.0.0,Victrex,VCT,2022-12-31,0,,0.188096,pressure_language,0.20,0.27999999999999997,support,rv-VCT-2022,"Gross margin fell from 54.0% to 51.2% under exceptional energy inflation, partly offset by efficiency gains; available cash remained positive after exceptional dividends.",2020 restructuring charge explicitly historical,true
v1_development,rv-VCT-2022-12-31-restructuring-rules-1.0.0,Victrex,VCT,2022-12-31,0,,0.188096,margin_pressure,0.70,0.63,support,rv-VCT-2022,"Gross margin fell from 54.0% to 51.2% under exceptional energy inflation, partly offset by efficiency gains; available cash remained positive after exceptional dividends.",2020 restructuring charge explicitly historical,true
v1_development,rv-VCT-2022-12-31-restructuring-rules-1.0.0,Victrex,VCT,2022-12-31,0,,0.188096,cash_pressure,0.20,0.13999999999999999,support,rv-VCT-2022,"Gross margin fell from 54.0% to 51.2% under exceptional energy inflation, partly offset by efficiency gains; available cash remained positive after exceptional dividends.",2020 restructuring charge explicitly historical,true
v1_development,rv-VCT-2022-12-31-restructuring-rules-1.0.0,Victrex,VCT,2022-12-31,0,,0.188096,contrary_strength,0.65,-0.52,contradict,rv-VCT-2022,"Gross margin fell from 54.0% to 51.2% under exceptional energy inflation, partly offset by efficiency gains; available cash remained positive after exceptional dividends.",2020 restructuring charge explicitly historical,true
v1_development,rv-RCDO-2021-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2021-12-31,0,,0.138545,pressure_language,0.20,0.27999999999999997,support,rv-RCDO-2021,"Trading was recovering with improved order intake and cash generation, although automotive markets remained challenging and leadership was transitioning.",,true
v1_development,rv-RCDO-2021-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2021-12-31,0,,0.138545,margin_pressure,0.30,0.27,support,rv-RCDO-2021,"Trading was recovering with improved order intake and cash generation, although automotive markets remained challenging and leadership was transitioning.",,true
v1_development,rv-RCDO-2021-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2021-12-31,0,,0.138545,cash_pressure,0.25,0.175,support,rv-RCDO-2021,"Trading was recovering with improved order intake and cash generation, although automotive markets remained challenging and leadership was transitioning.",,true
v1_development,rv-RCDO-2021-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2021-12-31,0,,0.138545,contrary_strength,0.70,-0.5599999999999999,contradict,rv-RCDO-2021,"Trading was recovering with improved order intake and cash generation, although automotive markets remained challenging and leadership was transitioning.",,true
v1_development,rv-RCDO-2022-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2022-12-31,1,2023-02-21,0.112802,pressure_language,0.35,0.48999999999999994,support,rv-RCDO-2022,"Order intake rose 23%, margin and cash conversion improved and debt fell; management had nevertheless taken actions to improve the Automotive and Industrial operating model and cost base.",operating-model actions disclosed but no qualifying material programme,true
v1_development,rv-RCDO-2022-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2022-12-31,1,2023-02-21,0.112802,margin_pressure,0.10,0.09000000000000001,support,rv-RCDO-2022,"Order intake rose 23%, margin and cash conversion improved and debt fell; management had nevertheless taken actions to improve the Automotive and Industrial operating model and cost base.",operating-model actions disclosed but no qualifying material programme,true
v1_development,rv-RCDO-2022-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2022-12-31,1,2023-02-21,0.112802,cash_pressure,0.10,0.06999999999999999,support,rv-RCDO-2022,"Order intake rose 23%, margin and cash conversion improved and debt fell; management had nevertheless taken actions to improve the Automotive and Industrial operating model and cost base.",operating-model actions disclosed but no qualifying material programme,true
v1_development,rv-RCDO-2022-12-31-restructuring-rules-1.0.0,Ricardo,RCDO,2022-12-31,1,2023-02-21,0.112802,contrary_strength,0.90,-0.7200000000000001,contradict,rv-RCDO-2022,"Order intake rose 23%, margin and cash conversion improved and debt fell; management had nevertheless taken actions to improve the Automotive and Industrial operating model and cost base.",operating-model actions disclosed but no qualifying material programme,true
v1_development,rv-IMI-2021-12-31-restructuring-rules-1.0.0,IMI,IMI,2021-12-31,0,,0.116868,pressure_language,0.35,0.48999999999999994,support,rv-IMI-2021,"The group incurred restructuring costs while executing its Better World programme, but organic growth, margins and cash generation were strong. The ongoing Precision programme is excluded.",Precision Engineering restructuring already disclosed,true
v1_development,rv-IMI-2021-12-31-restructuring-rules-1.0.0,IMI,IMI,2021-12-31,0,,0.116868,margin_pressure,0.10,0.09000000000000001,support,rv-IMI-2021,"The group incurred restructuring costs while executing its Better World programme, but organic growth, margins and cash generation were strong. The ongoing Precision programme is excluded.",Precision Engineering restructuring already disclosed,true
v1_development,rv-IMI-2021-12-31-restructuring-rules-1.0.0,IMI,IMI,2021-12-31,0,,0.116868,cash_pressure,0.10,0.06999999999999999,support,rv-IMI-2021,"The group incurred restructuring costs while executing its Better World programme, but organic growth, margins and cash generation were strong. The ongoing Precision programme is excluded.",Precision Engineering restructuring already disclosed,true
v1_development,rv-IMI-2021-12-31-restructuring-rules-1.0.0,IMI,IMI,2021-12-31,0,,0.116868,contrary_strength,0.85,-0.68,contradict,rv-IMI-2021,"The group incurred restructuring costs while executing its Better World programme, but organic growth, margins and cash generation were strong. The ongoing Precision programme is excluded.",Precision Engineering restructuring already disclosed,true
v1_development,rv-IMI-2022-12-31-restructuring-rules-1.0.0,IMI,IMI,2022-12-31,0,,0.140949,pressure_language,0.30,0.42,support,rv-IMI-2022,"An ongoing significant Precision Engineering restructuring produced £8m of charges, while adjusted profit and margin increased; cash flow fell as inventory and investment rose. The existing programme is excluded.",Precision Engineering programme already disclosed,true
v1_development,rv-IMI-2022-12-31-restructuring-rules-1.0.0,IMI,IMI,2022-12-31,0,,0.140949,margin_pressure,0.10,0.09000000000000001,support,rv-IMI-2022,"An ongoing significant Precision Engineering restructuring produced £8m of charges, while adjusted profit and margin increased; cash flow fell as inventory and investment rose. The existing programme is excluded.",Precision Engineering programme already disclosed,true
v1_development,rv-IMI-2022-12-31-restructuring-rules-1.0.0,IMI,IMI,2022-12-31,0,,0.140949,cash_pressure,0.45,0.315,support,rv-IMI-2022,"An ongoing significant Precision Engineering restructuring produced £8m of charges, while adjusted profit and margin increased; cash flow fell as inventory and investment rose. The existing programme is excluded.",Precision Engineering programme already disclosed,true
v1_development,rv-IMI-2022-12-31-restructuring-rules-1.0.0,IMI,IMI,2022-12-31,0,,0.140949,contrary_strength,0.80,-0.6400000000000001,contradict,rv-IMI-2022,"An ongoing significant Precision Engineering restructuring produced £8m of charges, while adjusted profit and margin increased; cash flow fell as inventory and investment rose. The existing programme is excluded.",Precision Engineering programme already disclosed,true
v1_development,rv-SPX-2021-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2021-12-31,0,,0.068982,pressure_language,0.05,0.06999999999999999,support,rv-SPX-2021,"Strong organic sales, high margins and cash generation supported continued investment; no material group restructuring signal was identified.",,true
v1_development,rv-SPX-2021-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2021-12-31,0,,0.068982,margin_pressure,0.05,0.045000000000000005,support,rv-SPX-2021,"Strong organic sales, high margins and cash generation supported continued investment; no material group restructuring signal was identified.",,true
v1_development,rv-SPX-2021-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2021-12-31,0,,0.068982,cash_pressure,0.05,0.034999999999999996,support,rv-SPX-2021,"Strong organic sales, high margins and cash generation supported continued investment; no material group restructuring signal was identified.",,true
v1_development,rv-SPX-2021-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2021-12-31,0,,0.068982,contrary_strength,0.95,-0.76,contradict,rv-SPX-2021,"Strong organic sales, high margins and cash generation supported continued investment; no material group restructuring signal was identified.",,true
v1_development,rv-SPX-2022-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2022-12-31,1,2023-08-10,0.304189,pressure_language,0.35,0.48999999999999994,support,rv-SPX-2022,"Demand and revenue remained strong, but margin was pressured, cash conversion weakened amid inventory rebuilding and acquisitions, and an Electric Thermal Solutions restructure was already underway.",ETS restructuring already disclosed,true
v1_development,rv-SPX-2022-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2022-12-31,1,2023-08-10,0.304189,margin_pressure,0.70,0.63,support,rv-SPX-2022,"Demand and revenue remained strong, but margin was pressured, cash conversion weakened amid inventory rebuilding and acquisitions, and an Electric Thermal Solutions restructure was already underway.",ETS restructuring already disclosed,true
v1_development,rv-SPX-2022-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2022-12-31,1,2023-08-10,0.304189,cash_pressure,0.75,0.5249999999999999,support,rv-SPX-2022,"Demand and revenue remained strong, but margin was pressured, cash conversion weakened amid inventory rebuilding and acquisitions, and an Electric Thermal Solutions restructure was already underway.",ETS restructuring already disclosed,true
v1_development,rv-SPX-2022-12-31-restructuring-rules-1.0.0,Spirax Group,SPX,2022-12-31,1,2023-08-10,0.304189,contrary_strength,0.60,-0.48,contradict,rv-SPX-2022,"Demand and revenue remained strong, but margin was pressured, cash conversion weakened amid inventory rebuilding and acquisitions, and an Electric Thermal Solutions restructure was already underway.",ETS restructuring already disclosed,true
v1_development,rv-PRV-2021-12-31-restructuring-rules-1.0.0,Porvair,PRV,2021-12-31,0,,0.077456,pressure_language,0.05,0.06999999999999999,support,rv-PRV-2021,"Porvair's interim performance showed profitable recovery, positive cash characteristics and investment capacity without a material restructuring signal.",,true
v1_development,rv-PRV-2021-12-31-restructuring-rules-1.0.0,Porvair,PRV,2021-12-31,0,,0.077456,margin_pressure,0.10,0.09000000000000001,support,rv-PRV-2021,"Porvair's interim performance showed profitable recovery, positive cash characteristics and investment capacity without a material restructuring signal.",,true
v1_development,rv-PRV-2021-12-31-restructuring-rules-1.0.0,Porvair,PRV,2021-12-31,0,,0.077456,cash_pressure,0.05,0.034999999999999996,support,rv-PRV-2021,"Porvair's interim performance showed profitable recovery, positive cash characteristics and investment capacity without a material restructuring signal.",,true
v1_development,rv-PRV-2021-12-31-restructuring-rules-1.0.0,Porvair,PRV,2021-12-31,0,,0.077456,contrary_strength,0.85,-0.68,contradict,rv-PRV-2021,"Porvair's interim performance showed profitable recovery, positive cash characteristics and investment capacity without a material restructuring signal.",,true
v1_development,rv-PRV-2022-12-31-restructuring-rules-1.0.0,Porvair,PRV,2022-12-31,0,,0.088877,pressure_language,0.10,0.13999999999999999,support,rv-PRV-2022,Revenue and profit growth remained resilient and cash generation supported investment; inflation and supply-chain effects did not amount to a material intervention signal.,,true
v1_development,rv-PRV-2022-12-31-restructuring-rules-1.0.0,Porvair,PRV,2022-12-31,0,,0.088877,margin_pressure,0.15,0.135,support,rv-PRV-2022,Revenue and profit growth remained resilient and cash generation supported investment; inflation and supply-chain effects did not amount to a material intervention signal.,,true
v1_development,rv-PRV-2022-12-31-restructuring-rules-1.0.0,Porvair,PRV,2022-12-31,0,,0.088877,cash_pressure,0.10,0.06999999999999999,support,rv-PRV-2022,Revenue and profit growth remained resilient and cash generation supported investment; inflation and supply-chain effects did not amount to a material intervention signal.,,true
v1_development,rv-PRV-2022-12-31-restructuring-rules-1.0.0,Porvair,PRV,2022-12-31,0,,0.088877,contrary_strength,0.85,-0.68,contradict,rv-PRV-2022,Revenue and profit growth remained resilient and cash generation supported investment; inflation and supply-chain effects did not amount to a material intervention signal.,,true
