comparison_id,document_id,ai_original_event_type,ai_normalized_event_type,ai_label_status,ai_source_page_section,ai_exact_evidence_span,ai_ambiguity_flag,classification,piotw_event_type,piotw_evidence_span,evidence_similarity,severe,root_cause,diagnosis
event-046,ee03-aapl-0000320193-23-000106,,,,,,,PIOTW_FALSE_POSITIVE,redundancy,"System upgrades, redundancy and other continuity measures may be ineffective or inadequate, and the Company’s or its vendors’ business continuity and disaster recovery planning may not be sufficient for all eventualities.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-047,ee03-aapl-0000320193-23-000106,,,,,,,AI_REVIEW_MISSING,cost_reduction,"dollar and lower Products volume, partially offset by cost savings and a different Products mix.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-048,ee03-aapl-0000320193-23-000106,,,,,,,AI_REVIEW_MISSING,cost_reduction,"Products gross margin percentage increased during 2023 compared to 2022 due to cost savings and a different Products mix, partially offset by the weakness in foreign currencies relative to the U.S.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-049,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,growth_language,"Research and Development We believe that in order to generate revenue growth, maintain our margins and remain competitive, we must continually invest in research and development, product and process improvements and specialized customer services.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-050,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,restructuring,"For example, most of our employees in Europe are represented by works councils that must approve any changes in conditions of employment, including salaries and benefits and staff changes, and may impede efforts to restructure our workforce.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-051,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,refinancing,"If we are unable to service our debt obligations, we may need to refinance all or a portion of our indebtedness on or before maturity, reduce or delay capital expenditures, sell assets or raise additional equity.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-052,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,refinancing,"Our inability to generate sufficient cash flow or use existing cash balances to satisfy our debt obligations, or to refinance our obligations on commercially reasonable terms, could have a material adverse effect on our business and financial condition.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-053,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,supply_chain_constraint,"We have experienced, and may continue to experience, volatility and increases in the price of certain raw materials and in transportation and energy costs as a result of global market and supply chain disruptions and the broader inflationary environment.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-054,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,cost_reduction,"If we are unable to increase the prices to our customers of our products to offset inflationary cost trends, or if we are unable to achieve cost savings to offset such cost increases, we could fail to meet our cost expectations, and our profits and operating results could be adversely affected.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-055,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,simplification,"Therefore, as a simplification, to calculate mineral resources, exclusive of reserves, the quantity of lithium pumped in the life of mine plan was subtracted from the overall resource without modification to lithium concentration.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-056,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,restructuring,"Narwold served as Special Counsel with Kelley Drye & Warren LLP and with Symmetry Advisors where she worked in the areas of strategic, financial and capital structure planning and restructuring for public and private companies.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-057,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,restructuring,"Barichivich began his career at Georgia Pacific, where he worked as an internal auditor and was a financial analyst supporting the restructuring of the Distribution Division.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-058,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,cost_reduction,"We believe our disciplined cost reduction efforts and ongoing productivity improvements, among other factors, position us well to take advantage of strengthening economic conditions as they occur, while softening the negative impact of the current challenging global economic environment.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-059,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,new_facility,"We anticipate that innovations from the new site will enhance lithium recovery, improve production methods, and introduce new forms of lithium to enable breakthrough levels of battery performance.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-060,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,capacity_expansion,"In particular, the market for lithium battery and energy storage, particularly for electric vehicles (“EVs”), remains strong, providing the opportunity to continue to develop high quality and innovative products while managing the high cost of expanding capacity.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-061,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,cost_reduction,"In addition, Specialties’ ongoing cost savings initiatives and higher pricing are expected to offset higher freight and raw material costs such as lithium chloride.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-062,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,restructuring,"These non-operating, non-recurring or unusual items may include acquisition and integration-related costs, gains or losses on sales of businesses, restructuring charges, facility divestiture charges, certain litigation and arbitration costs and charges, non-operating pension and OPEB items and other significant non-recurring items.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-063,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,site_closure,"• SG&A - $4.3 million related to facility closure expenses of offices in Germany, $2.8 million of charges for environmental reserves at sites not part of our operations, $2.8 million of shortfall contributions for our multiemployer plan financial improvement plan, $1.9 million of expense primarily related to one-time retention payments for certain employees during the Catalysts strategic review, partially offset by $4.3 million of gains from the sale of legacy properties not part of our operations.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-064,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,site_closure,"(e) In 2021, we recorded facility closure related to offices in Germany, and severance expenses in Germany and Belgium, in SG&A.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-065,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,growth_language,"Future cash flows for all reporting units include assumptions about revenue growth rates, adjusted EBITDA margins, discount rate as well as other economic or industry-related factors.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-066,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,growth_language,"For the Refining Solutions reporting unit, the revenue growth rates, adjusted EBITDA margins and the discount rate were deemed to be significant assumptions.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-067,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,refinancing,"We have the ability and intent to refinance our borrowings under our other existing credit lines with borrowings under the 2018 Credit Agreement, as applicable.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-068,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,cost_reduction,"Our main focus in the short-term, during the continued uncertainty surrounding the global economy, including caused by the ongoing COVID-19 pandemic and recent inflationary trends, is to continue to maintain financial flexibility by continuing our cost savings initiative, while still protecting our employees and customers, committing to shareholder returns and maintaining an investment grade rating.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-069,ee03-alb-0000915913-23-000039,,,,,,,PIOTW_FALSE_POSITIVE,refinancing,"Federal Reserve or similar national reserve banks in other countries decide to continue tightening the monetary supply, we may incur increased borrowing costs (as interest rates increase on our variable rate credit facilities, as our various credit facilities mature or as we refinance any maturing fixed rate debt obligations), although these cost increases would be partially offset by increased income rates on portions of our cash deposits.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-070,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,growth_language,"Management’s cash flow projections for the Refining Solutions reporting unit included significant judgment and assumptions relating to revenue growth rates, adjusted EBITDA margins and the discount rate.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-071,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,growth_language,"The principal considerations for our determination that performing procedures relating to the goodwill impairment assessment of the Refining Solutions reporting unit is a critical audit matter are (i) the significant judgment by management when developing the fair value measurement of the reporting unit; (ii) a high degree of auditor judgment, subjectivity, and effort in performing procedures and evaluating management’s significant assumptions related to revenue growth rates, adjusted EBITDA margins, and the discount rate; and (iii) the audit effort involved the use of professionals with specialized skill and knowledge.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-072,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,growth_language,"These procedures also included, among others (i) testing management’s process for developing the fair value estimate of the Refining Solutions reporting unit; (ii) evaluating the appropriateness of the discounted cash flow model; (iii) testing the completeness and accuracy of underlying data used in the model; and (iv) evaluating the significant assumptions used by management related to the revenue growth rates, adjusted EBITDA margins, and the discount rate.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-073,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,growth_language,Evaluating management’s assumptions related to the revenue growth rates and adjusted EBITDA margins involved evaluating whether the assumptions used by management were reasonable considering (i) the current and past performance of the reporting unit; (ii) the consistency with external economic and industry data; and (iii) whether these assumptions were consistent with evidence obtained in other areas of the audit.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-074,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,new_facility,The grant will be received over the life of the construction period for the new facility (projected as 2023 to 2026) as reimbursement for capital expenditures.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-075,ee03-alb-0000915913-23-000039,,,,,,,AI_REVIEW_MISSING,refinancing,"At December 31, 2022 and 2021, we had the ability and intent to refinance our borrowings under our other existing credit lines with borrowings under the 2018 Credit Agreement.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-076,ee03-alb-0000915913-23-000039,,,,,,,DUPLICATE_EVENT,restructuring,"These non-operating, non-recurring or unusual items may include acquisition and integration related costs, gains or losses on sales of businesses, restructuring charges, facility divestiture charges, certain litigation and arbitration costs and charges, non-operating pension and OPEB items and other significant non-recurring items.",,true,duplicate evidence,Near-duplicate occurrence would inflate the same event feature.
event-077,ee03-alb-0000915913-23-000039,,,,,,,DUPLICATE_EVENT,site_closure,"• SG&A - $ 4.3 million primarily related to facility closure expenses of offices in Germany, $ 2.8 million of charges for environmental reserves at sites not part of our operations, $ 2.8 million of shortfall contributions for our multiemployer plan financial improvement plan, $ 1.9 million of expense related to one-time retention payments for certain employees during the Catalysts strategic review, partially offset by $ 4.3 million of gains from the sale of legacy properties not part of our operations.",,true,duplicate evidence,Near-duplicate occurrence would inflate the same event feature.
event-078,ee03-aapl-0000320193-24-000081,,,,,,,AI_REVIEW_MISSING,cost_reduction,"Year-over-year Products gross margin percentage increased during the first nine months of 2024 due primarily to cost savings, partially offset by a different Products mix and the weakness in foreign currencies relative to the U.S.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
