case_id,document_id,source_span,event_candidate,target_company_relevance,subject_entity,subject_type,actual_hypothetical_status,current_historical_status,risk_section_status,expected_disposition,root_cause_category,formal_gold,admissible_for_model2_gate,notes
v032-unseen-020,ee03-cmi-0000026172-23-000005,"Offering engines and services that customers desire and value can mitigate the risks of increasing competition and declining demand, but products and services that are perceived to be less than desirable (whether in terms of price, quality, overall value, fuel efficiency or other attributes) can exacerbate these risks.",demand_weakness,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,generic_risk,false,false,Product strategy discussion does not establish current demand weakness.
v032-unseen-021,ee03-dow-0001751788-23-000014,"Mura plans to construct a new facility at Dow's Böhlen site in Germany, the latest in a series of planned facilities across the U.S.",new_facility,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,planned,unknown,rejected,third_party_context,false,false,New facility is planned by Mura rather than Dow.
v032-unseen-028,ee03-dow-0001751788-23-000014,See Note 5 to the Consolidated Financial Statements for additional information on restructuring and asset related charges.,restructuring,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,ambiguous,accounting_cross_reference,false,false,Cross-reference proves accounting disclosure but not operational event by itself.
synthetic-001-supplier,synthetic-v0-3-3,Our suppliers experienced labour shortages.,labour_constraint,external,supplier,supplier,actual_current,current,no,rejected,supplier_attribution,false,false,Generalized development regression case.
synthetic-002-supplier-impact,synthetic-v0-3-3,Supplier shortages caused delays to our production.,operational_disruption,direct,target company,target_company,actual_current,current,no,accepted,explicit_company_impact,false,false,Generalized development regression case.
synthetic-003-customer,synthetic-v0-3-3,Our customers reduced inventory.,demand_weakness,external,customer,customer,actual_current,current,no,rejected,customer_attribution,false,false,Generalized development regression case.
synthetic-004-customer-impact,synthetic-v0-3-3,Customer destocking reduced our sales volumes by 18%.,demand_weakness,direct,target company,target_company,actual_current,current,no,accepted,explicit_company_impact,false,false,Generalized development regression case.
synthetic-005-competitor,synthetic-v0-3-3,Our competitors announced capacity expansion.,capacity_expansion,external,competitor,competitor,actual_current,current,no,rejected,competitor_attribution,false,false,Generalized development regression case.
synthetic-006-industry,synthetic-v0-3-3,The semiconductor industry experienced inventory correction.,demand_weakness,external,semiconductor industry,industry,actual_current,current,no,rejected,industry_attribution,false,false,Generalized development regression case.
synthetic-007-quote,synthetic-v0-3-3,"According to analysts, demand could decline.",demand_weakness,external,analyst,third_party,hypothetical_risk,forecast,no,rejected,third_party_quote,false,false,Generalized development regression case.
synthetic-008-biography,synthetic-v0-3-3,She previously led a restructuring programme at Company X.,restructuring,external,former employer,former_employer,actual_historical,historical,no,rejected,biography,false,false,Generalized development regression case.
synthetic-009-acquisition,synthetic-v0-3-3,The acquisition target plans a site closure.,site_closure,external,acquisition target,acquisition_target,planned,planned,no,rejected,acquisition_target,false,false,Generalized development regression case.
synthetic-010-jv,synthetic-v0-3-3,Our joint venture announced capacity expansion.,capacity_expansion,shared,joint venture,joint_venture,planned,planned,no,rejected,joint_venture,false,false,Generalized development regression case.
synthetic-011-subsidiary,synthetic-v0-3-3,Our controlled subsidiary initiated a site closure.,site_closure,direct,controlled subsidiary,target_subsidiary,actual_current,current,no,accepted,target_subsidiary,false,false,Generalized development regression case.
synthetic-012-segment,synthetic-v0-3-3,Our Aviation segment experienced demand weakness.,demand_weakness,direct,Aviation,target_segment,actual_current,current,no,accepted,target_segment,false,false,Generalized development regression case.
synthetic-013-generic,synthetic-v0-3-3,Economic downturns could affect revenue.,demand_weakness,unclear,unknown,unknown,generic_risk,forecast,yes,rejected,generic_risk,false,false,Generalized development regression case.
synthetic-014-risk-actual,synthetic-v0-3-3,Risk Factors: We are currently experiencing supply disruptions affecting production.,supply_chain_constraint,direct,target company,target_company,actual_current,current,yes,accepted,actual_condition_in_risk_section,false,false,Generalized development regression case.
synthetic-015-conditional-actual,synthetic-v0-3-3,Demand could weaken further after declining 20% this quarter.,demand_weakness,direct,target company,target_company,actual_current_with_forecast,current,yes,accepted,embedded_current_fact,false,false,Generalized development regression case.
synthetic-016-negation,synthetic-v0-3-3,No restructuring is planned.,restructuring,direct,target company,target_company,negated,current,no,rejected,negation,false,false,Generalized development regression case.
