document_id,company,event_type,event_status,evidence_structure,period_binding,source_span,manual_sanity_classification,severe,failure_class,review_notes
ee03-cmi-0000026172-23-000005,CUMMINS INC,supply_chain_constraint,current,narrative_sentence,unknown,"Supply Chain Disruptions We continue to experience supply chain disruptions, increased price levels and related financial impacts reflected as increased cost of sales and inventory holdings.",supported,false,,Company explicitly reports continuing supply-chain disruption.
ee03-cmi-0000026172-23-000005,CUMMINS INC,supply_chain_constraint,current,narrative_sentence,unknown,Our industry continues to be unfavorably impacted by supply chain constraints leading to shortages and price increases across multiple component categories and limiting our collective ability to meet end-user demand.,supported,false,,Industry constraints are explicitly said to affect the company.
ee03-cmi-0000026172-23-000005,CUMMINS INC,supply_chain_constraint,current,narrative_sentence,unknown,"As we adjust to the current global supply chain challenges, global inflationary pressures and other global macroeconomic forces, we are experiencing supply chain disruptions, incremental costs and related challenges throughout the supply chain.",supported,false,,Company explicitly reports current shortages and price increases.
ee03-cmi-0000026172-23-000005,CUMMINS INC,supply_chain_constraint,current,narrative_sentence,unknown,The supply chain disruptions are impacting our business as well as our suppliers and customers resulting in longer lead times in some of our businesses.,supported,false,,Company and its counterparties are explicitly affected.
ee03-cmi-0000026172-23-000005,CUMMINS INC,cost_reduction,current,narrative_sentence,unknown,"Our research and development programs are focused on product improvements, product extensions, innovations and cost reductions for our customers.",false_positive,false,third_party_context,R&D cost reductions are benefits for customers not company intervention.
ee03-cmi-0000026172-23-000005,CUMMINS INC,supply_chain_constraint,current,narrative_sentence,unknown,We are experiencing supply chain disruptions and related challenges throughout the supply chain.,supported,false,,Company explicitly reports experienced supply-chain disruption.
ee03-cmi-0000026172-23-000005,CUMMINS INC,demand_weakness,current,narrative_sentence,unknown,"In periods of weak demand, we may face under-utilized capacity and un-recovered overhead costs, while in periods of strong demand we may experience unplanned costs and could fail to meet customer demand.",false_positive,false,hypothetical_risk,Weak-demand sentence is generic conditional risk.
ee03-cmi-0000026172-23-000005,CUMMINS INC,cost_reduction,current,table_row,unknown,"Despite their own engine manufacturing abilities, these customers have historically chosen to outsource certain types of engine production to us due to the quality of our engine products, our emission compliance capabilities, our systems 22 Table of Contents integration, their customers' preferences, their desire for cost reductions, their desire for eliminating production risks and their desire to maintain company focus.",false_positive,false,third_party_context,Cost reduction explains customer outsourcing decision.
ee03-cmi-0000026172-23-000005,CUMMINS INC,demand_weakness,ongoing,narrative_sentence,unknown,"The ongoing energy transition away from fossil fuels and the increased adoption of electrified powertrains in some market segments could result in lower demand for current diesel or natural gas engines and components and, over time, reduce the demand for related parts and service revenues from diesel or natural gas powertrains.",false_positive,false,hypothetical_risk,Energy-transition sentence describes possible future lower demand.
ee03-cmi-0000026172-23-000005,CUMMINS INC,demand_weakness,current,narrative_sentence,unknown,"Offering engines and services that customers desire and value can mitigate the risks of increasing competition and declining demand, but products and services that are perceived to be less than desirable (whether in terms of price, quality, overall value, fuel efficiency or other attributes) can exacerbate these risks.",false_positive,false,generic_risk,Product strategy discussion does not establish current demand weakness.
ee03-dow-0001751788-23-000014,DOW INC.,new_facility,planned,narrative_sentence,unknown,"Mura plans to construct a new facility at Dow's Böhlen site in Germany, the latest in a series of planned facilities across the U.S.",false_positive,false,third_party_context,New facility is planned by Mura rather than Dow.
ee03-dow-0001751788-23-000014,DOW INC.,capacity_expansion,planned,narrative_sentence,unknown,The investments will include alkoxylation capacity expansions and finishing capabilities; investments to support growth in polyurethane systems; and efficiency improvements around the world.,supported,false,,Explicit planned company capacity investments.
ee03-dow-0001751788-23-000014,DOW INC.,capacity_expansion,current,list_bullet,current_period,"• On March 30, 2022, Dow announced global capacity expansion in response to growing demand for mobility technologies.",supported,false,,Explicit company-announced capacity expansion.
ee03-dow-0001751788-23-000014,DOW INC.,restructuring,planned,narrative_sentence,future_period,"Board approved restructuring actions (""2023 Restructuring Program"") to achieve the Company's structural cost improvement initiatives in response to the continued economic impact from the global recessionary environment and to enhance its agility and long-term competitiveness across the economic cycle.",supported,false,,Board-approved current restructuring programme.
ee03-dow-0001751788-23-000014,DOW INC.,cost_reduction,current,narrative_sentence,unknown,"This program includes a global workforce cost reduction, decreasing turnaround spending, actions to rationalize the Company’s manufacturing assets, which includes asset write-down and write-off charges and related contract termination fees.",supported,false,,Programme explicitly includes workforce and spending reductions.
ee03-dow-0001751788-23-000014,DOW INC.,growth_language,current,narrative_sentence,unknown,Net sales increased in all operating segments except Industrial Intermediates & Infrastructure and across all geographic regions except EMEAI.,supported,false,,Actual sales increase.
ee03-dow-0001751788-23-000014,DOW INC.,growth_language,current,narrative_sentence,unknown,"Excluding the Hydrocarbons & Energy business, sales increased 1 percent.",supported,false,,Actual sales increase.
ee03-dow-0001751788-23-000014,DOW INC.,restructuring,current,narrative_sentence,unknown,See Note 5 to the Consolidated Financial Statements for additional information on restructuring and asset related charges.,ambiguous,false,accounting_cross_reference,Cross-reference proves accounting disclosure but not operational event by itself.
ee03-dow-0001751788-23-000014,DOW INC.,growth_language,current,narrative_sentence,unknown,Volume increased in Hydrocarbons & Energy across all geographic regions.,supported,false,,Actual lower-demand condition.
ee03-dow-0001751788-23-000014,DOW INC.,demand_weakness,current,narrative_sentence,unknown,Volume decreased in both businesses due to lower demand.,supported,false,,Company says it is implementing current cost interventions.
