evidence_id,company,ticker,cutoff,available_at,source_title,source_url,observation,pressure_language,margin_pressure,cash_pressure,contrary_strength,already_announced_exclusion,review_status
rv-VCT-2021,Victrex,VCT,2021-12-31,2021-06-07,Interim Results 2021,https://www.victrexplc.com/investors/reports-presentations/,"Victrex reported recovery in volumes and profitability with substantial available cash and continuing growth investment; operational disruption was limited.",0.05,0.10,0.05,0.90,"2020 consultation/restructuring already disclosed",manual_primary_source
rv-VCT-2022,Victrex,VCT,2022-12-31,2022-12-05,Preliminary Results 2022,https://www.investegate.info/announcement/rns/victrex-plc--vct/victrex-plc-preliminary-results-2022/7319148,"Gross margin fell from 54.0% to 51.2% under exceptional energy inflation, partly offset by efficiency gains; available cash remained positive after exceptional dividends.",0.20,0.70,0.20,0.65,"2020 restructuring charge explicitly historical",manual_primary_source
rv-RCDO-2021,Ricardo,RCDO,2021-12-31,2021-09-14,Preliminary Results 2020/21,https://www-publisher.ricardo.com/en/investors/results-centre/2020-21/prelim-results-and-presentation-2020-21-september-2021,"Trading was recovering with improved order intake and cash generation, although automotive markets remained challenging and leadership was transitioning.",0.20,0.30,0.25,0.70,"",manual_primary_source
rv-RCDO-2022,Ricardo,RCDO,2022-12-31,2022-09-14,Annual Results 2021/22,https://www-publisher.ricardo.com/en/news-and-insights/press-releases/2022/ricardo-annual-results-for-the-year-ended-30-june-2022,"Order intake rose 23%, margin and cash conversion improved and debt fell; management had nevertheless taken actions to improve the Automotive and Industrial operating model and cost base.",0.35,0.10,0.10,0.90,"operating-model actions disclosed but no qualifying material programme",manual_primary_source
rv-IMI-2021,IMI,IMI,2021-12-31,2021-07-30,Interim Results 2021,https://www.imiplc.com/media/tdjdpw3v/interim-results-2021.pdf,"The group incurred restructuring costs while executing its Better World programme, but organic growth, margins and cash generation were strong. The ongoing Precision programme is excluded.",0.35,0.10,0.10,0.85,"Precision Engineering restructuring already disclosed",manual_primary_source
rv-IMI-2022,IMI,IMI,2022-12-31,2022-07-29,Interim Results 2022,https://www.investegate.info/announcement/rns/imi--imi/interim-results/6916542,"An ongoing significant Precision Engineering restructuring produced £8m of charges, while adjusted profit and margin increased; cash flow fell as inventory and investment rose. The existing programme is excluded.",0.30,0.10,0.45,0.80,"Precision Engineering programme already disclosed",manual_primary_source
rv-SPX-2021,Spirax Group,SPX,2021-12-31,2021-08-11,2021 Half Year Results,https://www.spiraxgroup.com/en/investors/results-reports-and-presentations,"Strong organic sales, high margins and cash generation supported continued investment; no material group restructuring signal was identified.",0.05,0.05,0.05,0.95,"",manual_primary_source
rv-SPX-2022,Spirax Group,SPX,2022-12-31,2022-11-17,2022 Trading Update,https://www.spiraxgroup.com/en/investors/results-reports-and-presentations,"Demand and revenue remained strong, but margin was pressured, cash conversion weakened amid inventory rebuilding and acquisitions, and an Electric Thermal Solutions restructure was already underway.",0.35,0.70,0.75,0.60,"ETS restructuring already disclosed",manual_primary_source
rv-PRV-2021,Porvair,PRV,2021-12-31,2021-07-27,Interim Report 2021,https://www.porvair.com/investors/annual-reports,"Porvair's interim performance showed profitable recovery, positive cash characteristics and investment capacity without a material restructuring signal.",0.05,0.10,0.05,0.85,"",manual_primary_source
rv-PRV-2022,Porvair,PRV,2022-12-31,2022-07-04,Interim Report 2022,https://www.porvair.com/sites/porvair/files/2022-07/porvair-interim-master-2022-final.pdf,"Revenue and profit growth remained resilient and cash generation supported investment; inflation and supply-chain effects did not amount to a material intervention signal.",0.10,0.15,0.10,0.85,"",manual_primary_source

