prediction_id,ticker,cutoff,window_end,outcome_status,occurred,outcome_date,source_title,source_url,resolution_note,exclusion_applied,review_status
rv-VCT-2021-12-31-restructuring-rules-1.0.0,VCT,2021-12-31,2022-12-31,negative,0,,Victrex reports and presentations archive,https://www.victrexplc.com/investors/reports-presentations/,"Full-window archive and first post-window results review found no qualifying programme.","The 2020 consultation and restructuring charge were historical.",single_researcher_primary_archive
rv-VCT-2022-12-31-restructuring-rules-1.0.0,VCT,2022-12-31,2023-12-31,negative,0,,Victrex reports and presentations archive,https://www.victrexplc.com/investors/reports-presentations/,"Full-window archive and first post-window results review found no qualifying programme.","The 2020 consultation and restructuring charge were historical.",single_researcher_primary_archive
rv-RCDO-2021-12-31-restructuring-rules-1.0.0,RCDO,2021-12-31,2022-12-31,negative,0,,Ricardo results centre,https://www.ricardo.com/en/investors/results-centre,"Full-window archive and first post-window results review found no new qualifying programme.","Operating-model actions already described were excluded.",single_researcher_primary_archive
rv-RCDO-2022-12-31-restructuring-rules-1.0.0,RCDO,2022-12-31,2023-12-31,positive,1,2023-02-21,Ricardo interim report 2022/23,https://www.ricardo.com/media/f4ypbjjq/interim-report-for-the-six-months-ended-31-december-2022-hy-2022-23.pdf,"Ricardo announced accelerated restructuring of Automotive and Industrial with staff departures and about GBP5m total cash costs.","This was a newly quantified acceleration beyond the non-qualifying pre-cutoff operating-model actions.",single_researcher_primary_document
rv-IMI-2021-12-31-restructuring-rules-1.0.0,IMI,2021-12-31,2022-12-31,negative,0,,IMI Annual Report 2022,https://www.imiplc.com/investors/results-reports-and-presentations,"Reported rationalisation activity advanced significant multi-year programmes rather than announcing a distinct new programme.","The Precision Engineering restructuring was already public.",single_researcher_primary_archive
rv-IMI-2022-12-31-restructuring-rules-1.0.0,IMI,2022-12-31,2023-12-31,negative,0,,IMI Annual Report 2023,https://www.imiplc.com/investors/results-reports-and-presentations,"The 2023 rationalisation and Customer First costs continued significant multi-year programmes advanced in 2022.","Previously disclosed divisional programmes were excluded.",single_researcher_primary_archive
rv-SPX-2021-12-31-restructuring-rules-1.0.0,SPX,2021-12-31,2022-12-31,negative,0,,Spirax Group 2022 results archive,https://www.spiraxgroup.com/en/investors/results-reports-and-presentations,"Full-window archive and first post-window results review found no distinct qualifying programme.","The ETS action was not treated as a distinct unannounced group programme.",single_researcher_primary_archive
rv-SPX-2022-12-31-restructuring-rules-1.0.0,SPX,2022-12-31,2023-12-31,positive,1,2023-08-10,Spirax Group 2023 half year results,https://content.spiraxgroup.com/-/media/engineering/documents/results-and-agm-notices/2023/results/2023-hy-news-release.ashx?hash=9BB23ACBFA9D2C2181A22F08913AA5A6&rev=659d1f7c72d341a0aa29f17e641f680e,"Watson-Marlow restructuring was announced to right-size manufacturing capacity and reduce overhead with material charges.","The previously disclosed ETS restructuring was excluded; Watson-Marlow was distinct.",single_researcher_primary_document
rv-PRV-2021-12-31-restructuring-rules-1.0.0,PRV,2021-12-31,2022-12-31,negative,0,,Porvair annual reports archive,https://www.porvair.com/investors/annual-reports,"Full-window archive and first post-window results review found no qualifying programme.",,single_researcher_primary_archive
rv-PRV-2022-12-31-restructuring-rules-1.0.0,PRV,2022-12-31,2023-12-31,negative,0,,Porvair Annual Report 2023,https://www.porvair.com/investors/annual-reports,"Only immaterial local restructuring or write-down costs were found; no qualifying programme was announced.",,single_researcher_primary_archive
